Date,Location,Confirmed Case
15.04.2020,Green Road,10
15.04.2020,Gulistan,2
15.04.2020,Gulshan,8
15.04.2020,Hatir jhil,1
15.04.2020,Hatirpool,3
15.04.2020,Hazaribagh,9
15.04.2020,Islampur,2
15.04.2020,Jailgate,2
15.04.2020,Jatrabari,19
15.04.2020,Jigatala,5
15.04.2020,Jurain,1
15.04.2020,Kallyanpur,1
15.04.2020,Kamrangir Char,3
15.04.2020,Kazi para,1
15.04.2020,Khilgaon,1
15.04.2020,Kodomtoli,1
15.04.2020,Kotowali,3
15.04.2020,Kuril,1
15.04.2020,Lalbagh,18
15.04.2020,Laxmibazar,2
15.04.2020,Malibagh,4
15.04.2020,Manikdi,1
15.04.2020,Matuail,1
15.04.2020,Mirhajaribagh,2
15.04.2020,Mirpur-1,6
15.04.2020,Mirpur-6,2
15.04.2020,Mirpur-10,6
15.04.2020,Mirpur-11,11
15.04.2020,Mirpur-12,10
15.04.2020,Mirpur-13,2
15.04.2020,Mirpur-14,5
15.04.2020,Mitford,1
15.04.2020,Mogbazar,10
15.04.2020,Mohakhali,10
15.04.2020,Mohammadpur,20
15.04.2020,Motijeel,1
15.04.2020,Mugda,2
15.04.2020,Nawabpur,1
15.04.2020,Narinda,2
15.04.2020,Nakhalpara,5
15.04.2020,Nikunja,1
15.04.2020,Pirerbagh,2
15.04.2020,Purana Paltan,2
15.04.2020,Rajarbagh,6
15.04.2020,Rampura,3
15.04.2020,Ramna,1
15.04.2020,Rayerbagh,1
15.04.2020,Rayerbazar,1
15.04.2020,Sabujbagh,2
15.04.2020,Sayedabad,1
15.04.2020,Shah Ali Bagh,2
15.04.2020,Shahbag,4
15.04.2020,Shakharibazar,0
15.04.2020,Shantibagh,1
15.04.2020,Shampur,1
15.04.2020,Shantinagar,6
15.04.2020,Shaymoli,1
15.04.2020,Showari Ghat,3
15.04.2020,Siddheshwari,3
15.04.2020,Sonir akhra,1
15.04.2020,Sutrapur,7
15.04.2020,Tejgaon,16
15.04.2020,Tezturi Bazar,1
15.04.2020,Tolarbag,19
15.04.2020,Urdu Road,1
15.04.2020,Uttara,17
15.04.2020,Vatara,1
15.04.2020,Wari,26
16.04.2020,Adabor,5
16.04.2020,Agargaon,2
16.04.2020,Armanitola,1
16.04.2020,Ashkona,1
16.04.2020,Azimpur,11
16.04.2020,Babu Bazar,11
16.04.2020,Badda,8
16.04.2020,Baily Road,3
16.04.2020,Banani,8
16.04.2020,Bangshal,9
16.04.2020,Banianagar,1
16.04.2020,Basabo,17
16.04.2020,Bashundhora,5
16.04.2020,Begunbari,1
16.04.2020,Begum Bazar,1
16.04.2020,Beribadh,1
16.04.2020,Bokshi Bazar,1
16.04.2020,Bosila,1
16.04.2020,Buet Area,1
16.04.2020,Central Road,1
16.04.2020,Chankharpool,5
16.04.2020,Chawk Bazar,9
16.04.2020,Dhakkeshori,1
16.04.2020,Dhanmondi,18
16.04.2020,Dholaikhal,1
16.04.2020,Doyaganj,1
16.04.2020,Eskaton,2
16.04.2020,Faridabagh,1
16.04.2020,Farmgate,1
16.04.2020,Gendaria,14
16.04.2020,Gopibag,3
16.04.2020,Green Road,10
16.04.2020,Gulistan,2
16.04.2020,Gulshan,13
16.04.2020,Hatir jhil,1
16.04.2020,Hatirpool,3
16.04.2020,Hazaribagh,11
16.04.2020,Islampur,2
16.04.2020,Jailgate,2
16.04.2020,Jatrabari,23
16.04.2020,Jigatala,5
16.04.2020,Jurain,1
16.04.2020,Kallyanpur,1
16.04.2020,Kamrangir Char,3
16.04.2020,Kazi para,2
16.04.2020,Kawran Bazar,1
16.04.2020,Kochukhet,1
16.04.2020,Khilgaon,1
16.04.2020,Kodomtoli,1
16.04.2020,Kotowali,3
16.04.2020,Kuril,1
16.04.2020,Lalbagh,21
16.04.2020,Laxmibazar,4
16.04.2020,Malibagh,4
16.04.2020,Manikdi,1
16.04.2020,Matuail,1
16.04.2020,Mirhajaribagh,2
16.04.2020,Mirpur-1,8
16.04.2020,Mirpur-6,3
16.04.2020,Mirpur-10,6
16.04.2020,Mirpur-11,11
16.04.2020,Mirpur-12,10
16.04.2020,Mirpur-13,2
16.04.2020,Mirpur-14,5
16.04.2020,Mitford,2
16.04.2020,Mogbazar,10
16.04.2020,Mohakhali,12
16.04.2020,Mohammadpur,22
16.04.2020,Motijeel,1
16.04.2020,Mugda,2
16.04.2020,Nawabpur,1
16.04.2020,Narinda,3
16.04.2020,Nakhalpara,5
16.04.2020,Nikunja,1
16.04.2020,Pirerbagh,2
